"a_o","trimestre","proveedor","segmento","terminal","tecnolog_a","no_abonados"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","7600"
"2018","1","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","3G","0"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","60"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","29"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","3G","84"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","243"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","1512"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","3G","14905"
"2019","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","15635"
"2018","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","TEL�FONO M�VIL","4G","47580"
"2018","1","UFF MOVIL SAS","PREPAGO","TEL�FONO M�VIL","4G","750"
"2018","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","3467"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","TEL�FONO M�VIL","3G","5342966"
"2018","1","UFF MOVIL SAS","PREPAGO","TEL�FONO M�VIL","3G","4401"
"2019","2","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","132"
"2019","2","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","3G","58"
"2019","2","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","205"
"2019","2","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","4262"
"2019","2","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","1786"
"2018","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","418"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","TEL�FONO M�VIL","3G","151264"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","2G","53843"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","705"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2859"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","1960"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","12468"
"2019","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","9470"
"2018","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","TEL�FONO M�VIL","2G","46856"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","21"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","3G","61"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","157"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","1029"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","3G","12643"
"2019","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","18883"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","TEL�FONO M�VIL","3G","25620"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","TEL�FONO M�VIL","3G","1135058"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","6504"
